n,q,width,depth,tc,td,h,cnot
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,10,108,61,21,20,102
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,10,169,96,32,32,164
5,4,8,80,49,17,16,78
5,4,8,90,56,20,18,85
5,4,10,108,61,21,20,102
5,4,8,62,35,11,12,63
5,4,8,89,56,20,18,84
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,63,35,11,12,64
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,63,35,11,12,64
5,4,10,117,68,24,22,108
5,4,10,117,68,24,22,108
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,10,117,68,24,22,108
5,4,8,89,56,20,18,84
5,4,10,170,96,32,32,165
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,6,37,28,12,8,28
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,80,49,17,16,78
5,4,8,29,36,12,12,44
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,10,47,41,13,14,61
5,4,8,62,35,11,12,63
5,4,8,53,28,8,10,57
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,79,49,17,16,77
5,4,10,169,96,32,32,164
5,4,8,79,49,17,16,77
5,4,10,170,96,32,32,165
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,10,117,68,24,22,108
5,4,8,79,49,17,16,77
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,62,35,11,12,63
5,4,10,169,96,32,32,164
5,4,10,170,96,32,32,165
5,4,8,89,56,20,18,84
5,4,10,169,96,32,32,164
5,4,10,160,89,29,30,158
5,4,8,62,35,11,12,63
5,4,10,143,75,23,26,144
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,10,118,68,24,22,109
5,4,8,89,56,20,18,84
5,4,10,143,75,23,26,144
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,10,160,89,29,30,158
5,4,8,90,56,20,18,85
5,4,8,63,35,11,12,64
5,4,8,80,49,17,16,78
5,4,10,170,96,32,32,165
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,63,35,11,12,64
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,10,117,68,24,22,108
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,10,170,96,32,32,165
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,62,35,11,12,63
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,10,108,61,21,20,102
5,4,8,79,49,17,16,77
5,4,8,62,35,11,12,63
5,4,8,63,35,11,12,64
5,4,8,89,56,20,18,84
5,4,8,63,35,11,12,64
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,80,49,17,16,78
5,4,10,117,68,24,22,108
5,4,8,90,56,20,18,85
5,4,8,62,35,11,12,63
5,4,8,80,49,17,16,78
5,4,10,142,75,23,26,143
5,4,10,117,68,24,22,108
5,4,10,169,96,32,32,164
5,4,8,89,56,20,18,84
5,4,8,63,35,11,12,64
5,4,8,89,56,20,18,84
5,4,8,79,49,17,16,77
5,4,8,89,56,20,18,84
5,4,8,53,28,8,10,57
5,4,10,160,89,29,30,158
5,4,8,89,56,20,18,84
5,4,8,62,35,11,12,63
5,4,8,19,29,9,10,37
5,4,10,108,61,21,20,102
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,63,35,11,12,64
5,4,8,29,36,12,12,44
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,80,49,17,16,78
5,4,10,117,68,24,22,108
5,4,8,63,35,11,12,64
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,80,49,17,16,78
5,4,10,169,96,32,32,164
5,4,8,90,56,20,18,85
5,4,8,29,36,12,12,44
5,4,8,62,35,11,12,63
5,4,10,118,68,24,22,109
5,4,8,80,49,17,16,78
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,10,170,96,32,32,165
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,90,56,20,18,85
5,4,10,143,75,23,26,144
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,29,36,12,12,44
5,4,8,80,49,17,16,78
5,4,8,90,56,20,18,85
5,4,8,62,35,11,12,63
5,4,8,89,56,20,18,84
5,4,10,169,96,32,32,164
5,4,8,79,49,17,16,77
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,8,80,49,17,16,78
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,90,56,20,18,85
5,4,8,62,35,11,12,63
5,4,8,89,56,20,18,84
5,4,10,117,68,24,22,108
5,4,10,170,96,32,32,165
5,4,10,160,89,29,30,158
5,4,8,89,56,20,18,84
5,4,6,-23,8,4,2,-12
5,4,10,169,96,32,32,164
5,4,8,62,35,11,12,63
5,4,8,89,56,20,18,84
5,4,8,62,35,11,12,63
5,4,8,90,56,20,18,85
5,4,10,117,68,24,22,108
5,4,8,90,56,20,18,85
5,4,8,89,56,20,18,84
5,4,8,89,56,20,18,84
