n,q,width,depth,tc,td,h,cnot
5,4,10,1280,640,192,224,1280
6,5,12,3456,1664,512,576,3328
7,6,14,8704,4096,1280,1408,8192
8,7,16,20992,9728,3072,3328,19456
9,8,18,49152,22528,7168,7680,45056
10,9,20,112640,51200,16384,17408,102400
11,10,22,253952,114688,36864,38912,229376
12,11,24,565248,253952,81920,86016,507904
13,12,26,1245184,557056,180224,188416,1114112
14,13,28,2719744,1212416,393216,409600,2424832
15,14,30,5898240,2621440,851968,884736,5242880
16,15,32,12713984,5636096,1835008,1900544,11272192
17,16,34,27262976,12058624,3932160,4063232,24117248
18,17,36,58195968,25690112,8388608,8650752,51380224
19,18,38,123731968,54525952,17825792,18350080,109051904
20,19,40,262144000,115343360,37748736,38797312,230686720
21,20,42,553648128,243269632,79691776,81788928,486539264
22,21,44,1166016512,511705088,167772160,171966464,1023410176
23,22,46,2449473536,1073741824,352321536,360710144,2147483648
24,23,48,5133828096,2248146944,738197504,754974720,4496293888
25,24,50,10737418240,4697620480,1543503872,1577058304,9395240960
26,25,52,22414360576,9797894144,3221225472,3288334336,19595788288
27,26,54,46707769344,20401094656,6710886400,6845104128,40802189312
28,27,56,97173635072,42412802048,13958643712,14227079168,84825604096
29,28,58,201863462912,88046829568,28991029248,29527900160,176093659136
30,29,60,418759311360,182536110080,60129542144,61203283968,365072220160
31,30,62,867583393792,377957122048,124554051584,126701535232,755914244096
32,31,64,1795296329728,781684047872,257698037760,261993005056,1563368095744
33,32,66,3710851743744,1614907703296,532575944704,541165879296,3229815406592
